"Title","Description","Series","M","Genome","SourceType","SourceUrl","SourceVersion","Species","TaxonomyId","Coordinate_1_based","DataProvider","TestStatistic","EffectSize","NullProportion","InformativeCovariate","RDataClass","DispatchClass","BiocVersion","Maintainer","RDataPath"
"schubert-otus-abun-benchmark","16S microbiome differential testing of Schubert et al. (2014) dataset at OTU-level with mean abundance as covariate","Microbiome",3118,NA,"tar.gz","https://zenodo.org/record/840333/files/cdi_schubert_results.tar.gz","md5:26a2589c448d8425766db6b86155694f","human gut metagenome","408170",NA,"Patrick Schloss, University of Michigan, Ann Arbor, MI, USA <mothur.org/CDI_MicrobiomeModeling>","Wilcoxon rank-sum",NA,NA,"Mean abundance","SummarizedBenchmark","Rds","3.10","Keegan Korthauer <kdkorthauer@gmail.com>","benchmarkfdrData2019/v1.0.0/Microbiome/schubert-otus-abun-benchmark.rds"
"schubert-otus-uninf-benchmark","16S microbiome differential testing of Schubert et al. (2014) dataset at OTU-level with uninformative covariate","Microbiome",3118,NA,"tar.gz","https://zenodo.org/record/840333/files/cdi_schubert_results.tar.gz","md5:26a2589c448d8425766db6b86155694f","human gut metagenome","408170",NA,"Patrick Schloss, University of Michigan, Ann Arbor, MI, USA <mothur.org/CDI_MicrobiomeModeling>","Wilcoxon rank-sum",NA,NA,"Uninformative","SummarizedBenchmark","Rds","3.10","Keegan Korthauer <kdkorthauer@gmail.com>","benchmarkfdrData2019/v1.0.0/Microbiome/schubert-otus-uninf-benchmark.rds"
"brain-benchmark","Differential gene expression analysis between two brain regions (nucleus accumbens and putamen) using data from the GTEx project with mean counts as covariate","RNA-seq",30374,"GRCh38","RData","https://zenodo.org/record/1475409/files/rnaseq-brain-counts.rds","1","Homo sapiens","9606",NA,"Zenodo","DESeq2",NA,NA,"Mean counts","SummarizedBenchmark","Rds","3.10","Keegan Korthauer <kdkorthauer@gmail.com>","benchmarkfdrData2019/v1.0.0/RNA-seq/brain-benchmark.rds"
"brain-uninf-benchmark","Differential gene expression analysis between two brain regions (nucleus accumbens and putamen) using data from the GTEx project with uninformative covariate","RNA-seq",30374,"GRCh38","RData","https://zenodo.org/record/1475409/files/rnaseq-brain-counts.rds","1","Homo sapiens","9606",NA,"Zenodo","DESeq2",NA,NA,"Uninformative","SummarizedBenchmark","Rds","3.10","Keegan Korthauer <kdkorthauer@gmail.com>","benchmarkfdrData2019/v1.0.0/RNA-seq/brain-uninf-benchmark.rds"
"mir200c-benchmark","Differential gene expression analysis between mir200c knockdown cells and untreated cells with mean counts as covariate","RNA-seq",28345,"GRCh38","RData","http://duffel.rail.bio/recount/v2/SRP030475/rse_gene.Rdata","2","Homo sapiens","9606",NA,"","DESeq2",NA,NA,"Mean counts","SummarizedBenchmark","Rds","3.10","Keegan Korthauer <kdkorthauer@gmail.com>","benchmarkfdrData2019/v1.0.0/RNA-seq/mir200c-benchmark.rds"
"mir200c-uninf-benchmark","Differential gene expression analysis between mir200c knockdown cells and untreated cells with uninformative covariate","RNA-seq",28345,"GRCh38","RData","http://duffel.rail.bio/recount/v2/SRP030475/rse_gene.Rdata","2","Homo sapiens","9606",NA,"","DESeq2",NA,NA,"Uninformative","SummarizedBenchmark","Rds","3.10","Keegan Korthauer <kdkorthauer@gmail.com>","benchmarkfdrData2019/v1.0.0/RNA-seq/mir200c-uninf-benchmark.rds"
"polyester-results-de5","Polyester RNA-seq simulation study: Unimodal alternative, 2000 DE genes, strong informative covariate, 5 vs. 5 comparison","PolyesterInSilico",6553,"Ensembl release 68","tar.gz","https://github.com/bartongroup/profDGE48","375dc0d57d9d1fa96a4245a6530e0fda34305891","Saccharomyces cerevisiae","4932",NA,"Geoffrey J. Barton lab, University of Dundee, Dundee, UK","DESeq2","Unimodal","0.695","Strong","SummarizedBenchmark","Rds","3.10","Keegan Korthauer <kdkorthauer@gmail.com>","benchmarkfdrData2019/v1.0.0/PolyesterInSilico/polyester-results-de5.rds"
"polyester-results-de5-uninfCov","Polyester RNA-seq simulation study: Unimodal alternative, 2000 DE genes, uninformative covariate, 5 vs. 5 comparison","PolyesterInSilico",6553,"Ensembl release 68","tar.gz","https://github.com/bartongroup/profDGE48","375dc0d57d9d1fa96a4245a6530e0fda34305891","Saccharomyces cerevisiae","4932",NA,"Geoffrey J. Barton lab, University of Dundee, Dundee, UK","DESeq2","Unimodal","0.695","Uninformative","SummarizedBenchmark","Rds","3.10","Keegan Korthauer <kdkorthauer@gmail.com>","benchmarkfdrData2019/v1.0.0/PolyesterInSilico/polyester-results-de5-uninfCov.rds"
"polyester-results-de10","Polyester RNA-seq simulation study: Unimodal alternative, 2000 DE genes, strong informative covariate, 10 vs. 10 comparison","PolyesterInSilico",6553,"Ensembl release 68","tar.gz","https://github.com/bartongroup/profDGE48","375dc0d57d9d1fa96a4245a6530e0fda34305891","Saccharomyces cerevisiae","4932",NA,"Geoffrey J. Barton lab, University of Dundee, Dundee, UK","DESeq2","Unimodal","0.695","Strong","SummarizedBenchmark","Rds","3.10","Keegan Korthauer <kdkorthauer@gmail.com>","benchmarkfdrData2019/v1.0.0/PolyesterInSilico/polyester-results-de10.rds"
"polyester-results-de10-uninfCov","Polyester RNA-seq simulation study: Unimodal alternative, 2000 DE genes, uninformative covariate, 10 vs. 10 comparison","PolyesterInSilico",6553,"Ensembl release 68","tar.gz","https://github.com/bartongroup/profDGE48","375dc0d57d9d1fa96a4245a6530e0fda34305891","Saccharomyces cerevisiae","4932",NA,"Geoffrey J. Barton lab, University of Dundee, Dundee, UK","DESeq2","Unimodal","0.695","Uninformative","SummarizedBenchmark","Rds","3.10","Keegan Korthauer <kdkorthauer@gmail.com>","benchmarkfdrData2019/v1.0.0/PolyesterInSilico/polyester-results-de10-uninfCov.rds"
"polyester-results-null5","Polyester RNA-seq simulation study: Null, 5 vs. 5 comparison","PolyesterInSilico",6553,"Ensembl release 68","tar.gz","https://github.com/bartongroup/profDGE48","375dc0d57d9d1fa96a4245a6530e0fda34305891","Saccharomyces cerevisiae","4932",NA,"Geoffrey J. Barton lab, University of Dundee, Dundee, UK","DESeq2","Unimodal","1","none","SummarizedBenchmark","Rds","3.10","Keegan Korthauer <kdkorthauer@gmail.com>","benchmarkfdrData2019/v1.0.0/PolyesterInSilico/polyester-results-null5.rds"
"polyester-results-null10","Polyester RNA-seq simulation study: Null, 10 vs. 10 comparison","PolyesterInSilico",6553,"Ensembl release 68","tar.gz","https://github.com/bartongroup/profDGE48","375dc0d57d9d1fa96a4245a6530e0fda34305891","Saccharomyces cerevisiae","4932",NA,"Geoffrey J. Barton lab, University of Dundee, Dundee, UK","DESeq2","Unimodal","1","none","SummarizedBenchmark","Rds","3.10","Keegan Korthauer <kdkorthauer@gmail.com>","benchmarkfdrData2019/v1.0.0/PolyesterInSilico/polyester-results-null10.rds"
"polyesterW-results-de5","Polyester RNA-seq simulation study: Unimodal alternative, 2000 DE genes, weak informative covariate, 5 vs. 5 comparison","PolyesterInSilico",6553,"Ensembl release 68","tar.gz","https://github.com/bartongroup/profDGE48","375dc0d57d9d1fa96a4245a6530e0fda34305891","Saccharomyces cerevisiae","4932",NA,"Geoffrey J. Barton lab, University of Dundee, Dundee, UK","DESeq2","Unimodal","0.695","Weak","SummarizedBenchmark","Rds","3.10","Keegan Korthauer <kdkorthauer@gmail.com>","benchmarkfdrData2019/v1.0.0/PolyesterInSilico/polyesterW-results-de5.rds"
"polyesterW-results-de10","Polyester RNA-seq simulation study: Unimodal alternative, 2000 DE genes, weak informative covariate, 10 vs. 10 comparison","PolyesterInSilico",6553,"Ensembl release 68","tar.gz","https://github.com/bartongroup/profDGE48","375dc0d57d9d1fa96a4245a6530e0fda34305891","Saccharomyces cerevisiae","4932",NA,"Geoffrey J. Barton lab, University of Dundee, Dundee, UK","DESeq2","Unimodal","0.695","Weak","SummarizedBenchmark","Rds","3.10","Keegan Korthauer <kdkorthauer@gmail.com>","benchmarkfdrData2019/v1.0.0/PolyesterInSilico/polyesterW-results-de10.rds"
"yeast-results-de5","Yeast RNA-seq 48 sample simulation study: Unimodal alternative, 2000 DE genes, strong informative covariate, 5 vs. 5 comparison","YeastInSilico",6553,"Ensembl release 68","tar.gz","https://github.com/bartongroup/profDGE48","375dc0d57d9d1fa96a4245a6530e0fda34305891","Saccharomyces cerevisiae","4932",NA,"Geoffrey J. Barton lab, University of Dundee, Dundee, UK","DESeq2","Unimodal","0.695","Strong","SummarizedBenchmark","Rds","3.10","Keegan Korthauer <kdkorthauer@gmail.com>","benchmarkfdrData2019/v1.0.0/YeastInSilico/yeast-results-de5.rds"
"yeast-results-de5-uninfCov","Yeast RNA-seq 48 sample simulation study: Unimodal alternative, 2000 DE genes, uninformative covariate, 5 vs. 5 comparison","YeastInSilico",6553,"Ensembl release 68","tar.gz","https://github.com/bartongroup/profDGE48","375dc0d57d9d1fa96a4245a6530e0fda34305891","Saccharomyces cerevisiae","4932",NA,"Geoffrey J. Barton lab, University of Dundee, Dundee, UK","DESeq2","Unimodal","0.695","Uninformative","SummarizedBenchmark","Rds","3.10","Keegan Korthauer <kdkorthauer@gmail.com>","benchmarkfdrData2019/v1.0.0/YeastInSilico/yeast-results-de5-uninfCov.rds"
"yeast-results-de10","Yeast RNA-seq 48 sample simulation study: Unimodal alternative, 2000 DE genes, strong informative covariate, 10 vs. 10 comparison","YeastInSilico",6553,"Ensembl release 68","tar.gz","https://github.com/bartongroup/profDGE48","375dc0d57d9d1fa96a4245a6530e0fda34305891","Saccharomyces cerevisiae","4932",NA,"Geoffrey J. Barton lab, University of Dundee, Dundee, UK","DESeq2","Unimodal","0.695","Strong","SummarizedBenchmark","Rds","3.10","Keegan Korthauer <kdkorthauer@gmail.com>","benchmarkfdrData2019/v1.0.0/YeastInSilico/yeast-results-de10.rds"
"yeast-results-de10-uninfCov","Yeast RNA-seq 48 sample simulation study: Unimodal alternative, 2000 DE genes, uninformative covariate, 10 vs. 10 comparison","YeastInSilico",6553,"Ensembl release 68","tar.gz","https://github.com/bartongroup/profDGE48","375dc0d57d9d1fa96a4245a6530e0fda34305891","Saccharomyces cerevisiae","4932",NA,"Geoffrey J. Barton lab, University of Dundee, Dundee, UK","DESeq2","Unimodal","0.695","Uninformative","SummarizedBenchmark","Rds","3.10","Keegan Korthauer <kdkorthauer@gmail.com>","benchmarkfdrData2019/v1.0.0/YeastInSilico/yeast-results-de10-uninfCov.rds"
"yeast-results-null5","Yeast RNA-seq 48 sample simulation study: Null, 5 vs. 5 comparison","YeastInSilico",6553,"Ensembl release 68","tar.gz","https://github.com/bartongroup/profDGE48","375dc0d57d9d1fa96a4245a6530e0fda34305891","Saccharomyces cerevisiae","4932",NA,"Geoffrey J. Barton lab, University of Dundee, Dundee, UK","DESeq2","Unimodal","1","none","SummarizedBenchmark","Rds","3.10","Keegan Korthauer <kdkorthauer@gmail.com>","benchmarkfdrData2019/v1.0.0/YeastInSilico/yeast-results-null5.rds"
"yeast-results-null10","Yeast RNA-seq 48 sample simulation study: Null, 10 vs. 10 comparison","YeastInSilico",6553,"Ensembl release 68","tar.gz","https://github.com/bartongroup/profDGE48","375dc0d57d9d1fa96a4245a6530e0fda34305891","Saccharomyces cerevisiae","4932",NA,"Geoffrey J. Barton lab, University of Dundee, Dundee, UK","DESeq2","Unimodal","1","none","SummarizedBenchmark","Rds","3.10","Keegan Korthauer <kdkorthauer@gmail.com>","benchmarkfdrData2019/v1.0.0/YeastInSilico/yeast-results-null10.rds"
"yeastH-results-de5","Yeast RNA-seq 48 sample simulation study: Unimodal alternative, 500 DE genes, strong informative covariate, 5 vs. 5 comparison","YeastInSilico",6553,"Ensembl release 68","tar.gz","https://github.com/bartongroup/profDGE48","375dc0d57d9d1fa96a4245a6530e0fda34305891","Saccharomyces cerevisiae","4932",NA,"Geoffrey J. Barton lab, University of Dundee, Dundee, UK","DESeq2","Unimodal","0.924","Strong","SummarizedBenchmark","Rds","3.10","Keegan Korthauer <kdkorthauer@gmail.com>","benchmarkfdrData2019/v1.0.0/YeastInSilico/yeastH-results-de5.rds"
"yeastH-results-de5-uninfCov","Yeast RNA-seq 48 sample simulation study: Unimodal alternative, 500 DE genes, uninformative covariate, 5 vs. 5 comparison","YeastInSilico",6553,"Ensembl release 68","tar.gz","https://github.com/bartongroup/profDGE48","375dc0d57d9d1fa96a4245a6530e0fda34305891","Saccharomyces cerevisiae","4932",NA,"Geoffrey J. Barton lab, University of Dundee, Dundee, UK","DESeq2","Unimodal","0.924","Uninformative","SummarizedBenchmark","Rds","3.10","Keegan Korthauer <kdkorthauer@gmail.com>","benchmarkfdrData2019/v1.0.0/YeastInSilico/yeastH-results-de5-uninfCov.rds"
"yeastH-results-de10","Yeast RNA-seq 48 sample simulation study: Unimodal alternative, 500 DE genes, strong informative covariate, 10 vs. 10 comparison","YeastInSilico",6553,"Ensembl release 68","tar.gz","https://github.com/bartongroup/profDGE48","375dc0d57d9d1fa96a4245a6530e0fda34305891","Saccharomyces cerevisiae","4932",NA,"Geoffrey J. Barton lab, University of Dundee, Dundee, UK","DESeq2","Unimodal","0.924","Strong","SummarizedBenchmark","Rds","3.10","Keegan Korthauer <kdkorthauer@gmail.com>","benchmarkfdrData2019/v1.0.0/YeastInSilico/yeastH-results-de10.rds"
"yeastH-results-de10-uninfCov","Yeast RNA-seq 48 sample simulation study: Unimodal alternative, 500 DE genes, uninformative covariate, 10 vs. 10 comparison","YeastInSilico",6553,"Ensembl release 68","tar.gz","https://github.com/bartongroup/profDGE48","375dc0d57d9d1fa96a4245a6530e0fda34305891","Saccharomyces cerevisiae","4932",NA,"Geoffrey J. Barton lab, University of Dundee, Dundee, UK","DESeq2","Unimodal","0.924","Uninformative","SummarizedBenchmark","Rds","3.10","Keegan Korthauer <kdkorthauer@gmail.com>","benchmarkfdrData2019/v1.0.0/YeastInSilico/yeastH-results-de10-uninfCov.rds"
"yeastHW-results-de5","Yeast RNA-seq 48 sample simulation study: Unimodal alternative, 500 DE genes, weak informative covariate, 5 vs. 5 comparison","YeastInSilico",6553,"Ensembl release 68","tar.gz","https://github.com/bartongroup/profDGE48","375dc0d57d9d1fa96a4245a6530e0fda34305891","Saccharomyces cerevisiae","4932",NA,"Geoffrey J. Barton lab, University of Dundee, Dundee, UK","DESeq2","Unimodal","0.924","Weak","SummarizedBenchmark","Rds","3.10","Keegan Korthauer <kdkorthauer@gmail.com>","benchmarkfdrData2019/v1.0.0/YeastInSilico/yeastHW-results-de5.rds"
"yeastHW-results-de10","Yeast RNA-seq 48 sample simulation study: Unimodal alternative, 500 DE genes, weak informative covariate, 10 vs. 10 comparison","YeastInSilico",6553,"Ensembl release 68","tar.gz","https://github.com/bartongroup/profDGE48","375dc0d57d9d1fa96a4245a6530e0fda34305891","Saccharomyces cerevisiae","4932",NA,"Geoffrey J. Barton lab, University of Dundee, Dundee, UK","DESeq2","Unimodal","0.924","Weak","SummarizedBenchmark","Rds","3.10","Keegan Korthauer <kdkorthauer@gmail.com>","benchmarkfdrData2019/v1.0.0/YeastInSilico/yeastHW-results-de10.rds"
"yeastII-results-de5","Yeast RNA-seq 48 sample simulation study: Bimodal alternative, 2000 DE genes, strong informative covariate, 5 vs. 5 comparison","YeastInSilico",6553,"Ensembl release 68","tar.gz","https://github.com/bartongroup/profDGE48","375dc0d57d9d1fa96a4245a6530e0fda34305891","Saccharomyces cerevisiae","4932",NA,"Geoffrey J. Barton lab, University of Dundee, Dundee, UK","DESeq2","Bimodal","0.695","Strong","SummarizedBenchmark","Rds","3.10","Keegan Korthauer <kdkorthauer@gmail.com>","benchmarkfdrData2019/v1.0.0/YeastInSilico/yeastII-results-de5.rds"
"yeastII-results-de5-uninfCov","Yeast RNA-seq 48 sample simulation study: Bimodal alternative, 2000 DE genes, uninformative covariate, 5 vs. 5 comparison","YeastInSilico",6553,"Ensembl release 68","tar.gz","https://github.com/bartongroup/profDGE48","375dc0d57d9d1fa96a4245a6530e0fda34305891","Saccharomyces cerevisiae","4932",NA,"Geoffrey J. Barton lab, University of Dundee, Dundee, UK","DESeq2","Bimodal","0.695","Uninformative","SummarizedBenchmark","Rds","3.10","Keegan Korthauer <kdkorthauer@gmail.com>","benchmarkfdrData2019/v1.0.0/YeastInSilico/yeastII-results-de5-uninfCov.rds"
"yeastII-results-de10","Yeast RNA-seq 48 sample simulation study: Bimodal alternative, 2000 DE genes, strong informative covariate, 10 vs. 10 comparison","YeastInSilico",6553,"Ensembl release 68","tar.gz","https://github.com/bartongroup/profDGE48","375dc0d57d9d1fa96a4245a6530e0fda34305891","Saccharomyces cerevisiae","4932",NA,"Geoffrey J. Barton lab, University of Dundee, Dundee, UK","DESeq2","Bimodal","0.695","Strong","SummarizedBenchmark","Rds","3.10","Keegan Korthauer <kdkorthauer@gmail.com>","benchmarkfdrData2019/v1.0.0/YeastInSilico/yeastII-results-de10.rds"
"yeastII-results-de10-uninfCov","Yeast RNA-seq 48 sample simulation study: Bimodal alternative, 2000 DE genes, uninformative covariate, 10 vs. 10 comparison","YeastInSilico",6553,"Ensembl release 68","tar.gz","https://github.com/bartongroup/profDGE48","375dc0d57d9d1fa96a4245a6530e0fda34305891","Saccharomyces cerevisiae","4932",NA,"Geoffrey J. Barton lab, University of Dundee, Dundee, UK","DESeq2","Bimodal","0.695","Uninformative","SummarizedBenchmark","Rds","3.10","Keegan Korthauer <kdkorthauer@gmail.com>","benchmarkfdrData2019/v1.0.0/YeastInSilico/yeastII-results-de10-uninfCov.rds"
"yeastIIH-results-de5","Yeast RNA-seq 48 sample simulation study: bimodal alternative, 500 DE genes, strong informative covariate, 5 vs. 5 comparison","YeastInSilico",6553,"Ensembl release 68","tar.gz","https://github.com/bartongroup/profDGE48","375dc0d57d9d1fa96a4245a6530e0fda34305891","Saccharomyces cerevisiae","4932",NA,"Geoffrey J. Barton lab, University of Dundee, Dundee, UK","DESeq2","Bimodal","0.924","Strong","SummarizedBenchmark","Rds","3.10","Keegan Korthauer <kdkorthauer@gmail.com>","benchmarkfdrData2019/v1.0.0/YeastInSilico/yeastIIH-results-de5.rds"
"yeastIIH-results-de5-uninfCov","Yeast RNA-seq 48 sample simulation study: bimodal alternative, 500 DE genes, uninformative covariate, 5 vs. 5 comparison","YeastInSilico",6553,"Ensembl release 68","tar.gz","https://github.com/bartongroup/profDGE48","375dc0d57d9d1fa96a4245a6530e0fda34305891","Saccharomyces cerevisiae","4932",NA,"Geoffrey J. Barton lab, University of Dundee, Dundee, UK","DESeq2","Bimodal","0.924","Uninformative","SummarizedBenchmark","Rds","3.10","Keegan Korthauer <kdkorthauer@gmail.com>","benchmarkfdrData2019/v1.0.0/YeastInSilico/yeastIIH-results-de5-uninfCov.rds"
"yeastIIH-results-de10","Yeast RNA-seq 48 sample simulation study: bimodal alternative, 500 DE genes, strong informative covariate, 10 vs. 10 comparison","YeastInSilico",6553,"Ensembl release 68","tar.gz","https://github.com/bartongroup/profDGE48","375dc0d57d9d1fa96a4245a6530e0fda34305891","Saccharomyces cerevisiae","4932",NA,"Geoffrey J. Barton lab, University of Dundee, Dundee, UK","DESeq2","Bimodal","0.924","Strong","SummarizedBenchmark","Rds","3.10","Keegan Korthauer <kdkorthauer@gmail.com>","benchmarkfdrData2019/v1.0.0/YeastInSilico/yeastIIH-results-de10.rds"
"yeastIIH-results-de10-uninfCov","Yeast RNA-seq 48 sample simulation study: bimodal alternative, 500 DE genes, uninformative covariate, 10 vs. 10 comparison","YeastInSilico",6553,"Ensembl release 68","tar.gz","https://github.com/bartongroup/profDGE48","375dc0d57d9d1fa96a4245a6530e0fda34305891","Saccharomyces cerevisiae","4932",NA,"Geoffrey J. Barton lab, University of Dundee, Dundee, UK","DESeq2","Bimodal","0.924","Uninformative","SummarizedBenchmark","Rds","3.10","Keegan Korthauer <kdkorthauer@gmail.com>","benchmarkfdrData2019/v1.0.0/YeastInSilico/yeastIIH-results-de10-uninfCov.rds"
"yeastIIHW-results-de5","Yeast RNA-seq 48 sample simulation study: bimodal alternative, 500 DE genes, weak informative covariate, 5 vs. 5 comparison","YeastInSilico",6553,"Ensembl release 68","tar.gz","https://github.com/bartongroup/profDGE48","375dc0d57d9d1fa96a4245a6530e0fda34305891","Saccharomyces cerevisiae","4932",NA,"Geoffrey J. Barton lab, University of Dundee, Dundee, UK","DESeq2","Bimodal","0.924","Weak","SummarizedBenchmark","Rds","3.10","Keegan Korthauer <kdkorthauer@gmail.com>","benchmarkfdrData2019/v1.0.0/YeastInSilico/yeastIIHW-results-de5.rds"
"yeastIIHW-results-de10","Yeast RNA-seq 48 sample simulation study: bimodal alternative, 500 DE genes, weak informative covariate, 10 vs. 10 comparison","YeastInSilico",6553,"Ensembl release 68","tar.gz","https://github.com/bartongroup/profDGE48","375dc0d57d9d1fa96a4245a6530e0fda34305891","Saccharomyces cerevisiae","4932",NA,"Geoffrey J. Barton lab, University of Dundee, Dundee, UK","DESeq2","Bimodal","0.924","Weak","SummarizedBenchmark","Rds","3.10","Keegan Korthauer <kdkorthauer@gmail.com>","benchmarkfdrData2019/v1.0.0/YeastInSilico/yeastIIHW-results-de10.rds"
"yeastIIW-results-de5","Yeast RNA-seq 48 sample simulation study: bimodal alternative, 2000 DE genes, weak informative covariate, 5 vs. 5 comparison","YeastInSilico",6553,"Ensembl release 68","tar.gz","https://github.com/bartongroup/profDGE48","375dc0d57d9d1fa96a4245a6530e0fda34305891","Saccharomyces cerevisiae","4932",NA,"Geoffrey J. Barton lab, University of Dundee, Dundee, UK","DESeq2","Bimodal","0.695","Weak","SummarizedBenchmark","Rds","3.10","Keegan Korthauer <kdkorthauer@gmail.com>","benchmarkfdrData2019/v1.0.0/YeastInSilico/yeastIIW-results-de5.rds"
"yeastIIW-results-de10","Yeast RNA-seq 48 sample simulation study: bimodal alternative, 2000 DE genes, weak informative covariate, 10 vs. 10 comparison","YeastInSilico",6553,"Ensembl release 68","tar.gz","https://github.com/bartongroup/profDGE48","375dc0d57d9d1fa96a4245a6530e0fda34305891","Saccharomyces cerevisiae","4932",NA,"Geoffrey J. Barton lab, University of Dundee, Dundee, UK","DESeq2","Bimodal","0.695","Weak","SummarizedBenchmark","Rds","3.10","Keegan Korthauer <kdkorthauer@gmail.com>","benchmarkfdrData2019/v1.0.0/YeastInSilico/yeastIIW-results-de10.rds"
"yeastW-results-de5","Yeast RNA-seq 48 sample simulation study: Unimodal alternative, 2000 DE genes, weak informative covariate, 5 vs. 5 comparison","YeastInSilico",6553,"Ensembl release 68","tar.gz","https://github.com/bartongroup/profDGE48","375dc0d57d9d1fa96a4245a6530e0fda34305891","Saccharomyces cerevisiae","4932",NA,"Geoffrey J. Barton lab, University of Dundee, Dundee, UK","DESeq2","Unimodal","0.695","Weak","SummarizedBenchmark","Rds","3.10","Keegan Korthauer <kdkorthauer@gmail.com>","benchmarkfdrData2019/v1.0.0/YeastInSilico/yeastW-results-de5.rds"
"yeastW-results-de10","Yeast RNA-seq 48 sample simulation study: Unimodal alternative, 2000 DE genes, weak informative covariate, 10 vs. 10 comparison","YeastInSilico",6553,"Ensembl release 68","tar.gz","https://github.com/bartongroup/profDGE48","375dc0d57d9d1fa96a4245a6530e0fda34305891","Saccharomyces cerevisiae","4932",NA,"Geoffrey J. Barton lab, University of Dundee, Dundee, UK","DESeq2","Unimodal","0.695","Weak","SummarizedBenchmark","Rds","3.10","Keegan Korthauer <kdkorthauer@gmail.com>","benchmarkfdrData2019/v1.0.0/YeastInSilico/yeastW-results-de10.rds"
"human-benchmark-mast-det","Case study: differential expression using the method MAST on single-cell RNAseq data of diffuse neoplastic infiltrating cells at the migrating front of human glioblastoma.","scRNA-seq",23257,"GRCh38","RData","http://imlspenticton.uzh.ch/robinson_lab/conquer/data-mae/GSE84465.rds","1","Homo sapiens","9606",NA,"Conquer database","Chi-squared",NA,NA,"Detection rate","SummarizedBenchmark","Rds","3.10","Keegan Korthauer <kdkorthauer@gmail.com>","benchmarkfdrData2019/v1.0.0/scRNA-seq/human-benchmark-mast-det.rds"
"human-benchmark-mast-mean","Case study: differential expression using the method MAST on single-cell RNAseq data of diffuse neoplastic infiltrating cells at the migrating front of human glioblastoma.","scRNA-seq",23257,"GRCh38","RData","http://imlspenticton.uzh.ch/robinson_lab/conquer/data-mae/GSE84465.rds","1","Homo sapiens","9606",NA,"Conquer database","Chi-squared",NA,NA,"Mean of counts","SummarizedBenchmark","Rds","3.10","Keegan Korthauer <kdkorthauer@gmail.com>","benchmarkfdrData2019/v1.0.0/scRNA-seq/human-benchmark-mast-mean.rds"
"human-benchmark-mast-uninf","Case study: differential expression using the method MAST on single-cell RNAseq data of diffuse neoplastic infiltrating cells at the migrating front of human glioblastoma.","scRNA-seq",23257,"GRCh38","RData","http://imlspenticton.uzh.ch/robinson_lab/conquer/data-mae/GSE84465.rds","1","Homo sapiens","9606",NA,"Conquer database","Chi-squared",NA,NA,"Uninformative covariate","SummarizedBenchmark","Rds","3.10","Keegan Korthauer <kdkorthauer@gmail.com>","benchmarkfdrData2019/v1.0.0/scRNA-seq/human-benchmark-mast-uninf.rds"
"human-benchmark-scdd-det","Case study: differential expression using the method scDD on single-cell RNAseq data of diffuse neoplastic infiltrating cells at the migrating front of human glioblastoma.","scRNA-seq",23257,"GRCh38","RData","http://imlspenticton.uzh.ch/robinson_lab/conquer/data-mae/GSE84465.rds","1","Homo sapiens","9606",NA,"Conquer database","Permutation Test",NA,NA,"Detection rate","SummarizedBenchmark","Rds","3.10","Keegan Korthauer <kdkorthauer@gmail.com>","benchmarkfdrData2019/v1.0.0/scRNA-seq/human-benchmark-scdd-det.rds"
"human-benchmark-scdd-mean","Case study: differential expression using the method scDD on single-cell RNAseq data of diffuse neoplastic infiltrating cells at the migrating front of human glioblastoma.","scRNA-seq",23257,"GRCh38","RData","http://imlspenticton.uzh.ch/robinson_lab/conquer/data-mae/GSE84465.rds","1","Homo sapiens","9606",NA,"Conquer database","Permutation Test",NA,NA,"Mean of counts","SummarizedBenchmark","Rds","3.10","Keegan Korthauer <kdkorthauer@gmail.com>","benchmarkfdrData2019/v1.0.0/scRNA-seq/human-benchmark-scdd-mean.rds"
"human-benchmark-scdd-uninf","Case study: differential expression using the method scDD on single-cell RNAseq data of diffuse neoplastic infiltrating cells at the migrating front of human glioblastoma.","scRNA-seq",23257,"GRCh38","RData","http://imlspenticton.uzh.ch/robinson_lab/conquer/data-mae/GSE84465.rds","1","Homo sapiens","9606",NA,"Conquer database","Permutation Test",NA,NA,"Uninformative covariate","SummarizedBenchmark","Rds","3.10","Keegan Korthauer <kdkorthauer@gmail.com>","benchmarkfdrData2019/v1.0.0/scRNA-seq/human-benchmark-scdd-uninf.rds"
"human-benchmark-wilcox-det","Case study: differential expression using a Wilcox test on single-cell RNAseq data of diffuse neoplastic infiltrating cells at the migrating front of human glioblastoma.","scRNA-seq",23257,"GRCh38","RData","http://imlspenticton.uzh.ch/robinson_lab/conquer/data-mae/GSE84465.rds","1","Homo sapiens","9606",NA,"Conquer database","Wilcoxon rank-sum",NA,NA,"Detection rate","SummarizedBenchmark","Rds","3.10","Keegan Korthauer <kdkorthauer@gmail.com>","benchmarkfdrData2019/v1.0.0/scRNA-seq/human-benchmark-wilcox-det.rds"
"human-benchmark-wilcox-mean","Case study: differential expression using a Wilcox test on single-cell RNAseq data of diffuse neoplastic infiltrating cells at the migrating front of human glioblastoma.","scRNA-seq",23257,"GRCh38","RData","http://imlspenticton.uzh.ch/robinson_lab/conquer/data-mae/GSE84465.rds","1","Homo sapiens","9606",NA,"Conquer database","Wilcoxon rank-sum",NA,NA,"Mean of counts","SummarizedBenchmark","Rds","3.10","Keegan Korthauer <kdkorthauer@gmail.com>","benchmarkfdrData2019/v1.0.0/scRNA-seq/human-benchmark-wilcox-mean.rds"
